trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,profile_embedding_enabled,profile_coherence_enabled,profile_coherence_lambda,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k,profile_coherence_lift_at_k
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,48,2021-03-31,0.2618823460435529,0.004906239985053057,0.41898288195966454,0.7754545454545455,1.1255801058953454
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,49,2021-04-13,0.24863893484820535,-0.0028319880253444172,0.40634221435856666,0.7882117882117882,1.1560171580860412
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,50,2021-04-26,0.2419142366272513,-0.004281320532835527,0.4098292772951826,0.7952453987730062,1.1522988104175629
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,51,2021-05-07,0.23927831554407128,0.008610185771215624,0.3926884301852731,0.773991726990693,1.1172769131236122
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,52,2021-05-20,0.2119912060050777,0.006352133454251928,0.3562632534272247,0.7821624314897857,1.1402064273285644
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,53,2021-06-02,0.2202313818660202,0.011088862142697154,0.3751610865873305,0.7873318385650224,1.1528831819079672
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,54,2021-06-15,0.21665409136018435,-0.0026441517267488243,0.3767700159958383,0.792155756207675,1.1556588275844148
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,55,2021-06-28,0.22371247917903847,-0.0026531904788792706,0.38778564508701624,0.8013904338153505,1.1625038020518403
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,56,2021-07-09,0.21642309806115678,-0.0012525670897512568,0.37774096319926465,0.7781232334652346,1.1300598870275496
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,57,2021-07-22,0.22212870915835664,0.004516149017296264,0.3903308004416986,0.7779299014238773,1.1319236257663492
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,58,2021-08-04,0.21925955666401734,0.005646284489603906,0.3750089486205591,0.7924097664543525,1.1551936770807807
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,59,2021-08-17,0.23314678140747833,-0.0006533015339484328,0.39042759314830194,0.7865626572722698,1.1488401094356488
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,60,2021-08-30,0.23854307861657278,-0.00590199209608872,0.402276366985291,0.7904833084205282,1.1611218457646273
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,61,2021-09-10,0.24269001584325967,-0.0010988750685307237,0.3984539995086887,0.7813705583756345,1.1417703617506039
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,62,2021-09-23,0.2502278592098052,-0.012002998931417767,0.4063656957429944,0.7956144578313253,1.1660090882609226
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,63,2021-10-06,0.2661961019625436,-0.010406091962957685,0.4270242731563058,0.7820130475302889,1.1514084350483784
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,64,2021-10-19,0.2575560036491952,-0.01277706722441772,0.41307454111779945,0.7893932376100046,1.1602901766262967
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,65,2021-11-01,0.2656007521190914,-0.006119619612759539,0.4205759359335797,0.7822346891070594,1.1482266542639856
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,66,2021-11-12,0.17319602124702707,-0.0060510104933787145,0.27530133601562173,0.7628378378378379,1.1071447682424163
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,67,2021-11-25,0.26357252255530916,-0.015465802239293898,0.42319561287024,0.7855604503181596,1.1519929748603517
7b1e6_00004,64,3,0.001,1e-05,0.6,50,1024,True,True,0.1,68,2021-12-08,0.26998073970530345,-0.01733958588577175,0.43703626379064975,0.7794794794794795,1.1520370586713649
