trial_id,embedding_dimension,number_of_layers,learning_rate,weight_decay,keep_probability,number_of_epochs,batch_size,profile_embedding_enabled,profile_coherence_enabled,profile_coherence_lambda,split_index,time_point,ndcg_at_k,roi_at_k,recall_at_k,profile_coherence_at_k
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,39,2020-12-07,0.3509008507101579,0.0017201489137443943,0.5183799829847474,0.788926034266611
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,40,2020-12-18,0.3338034240863018,0.004319027087511152,0.4968369321197058,0.7894943330427201
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,41,2021-01-01,0.3174006234105456,0.007670702727453489,0.4813730857489786,0.7866814159292036
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,42,2021-01-14,0.3172453264854835,0.0072318967416437835,0.4884029235339033,0.7816206428248076
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,43,2021-01-27,0.31052609786768154,0.01665541504398415,0.47631205460493103,0.7862870159453303
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,44,2021-02-09,0.31491730683772645,0.009868164670803202,0.4800775072958439,0.7741818181818182
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,45,2021-02-22,0.3017998657759435,0.015731517715824084,0.4673446633147793,0.7757672927164453
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,46,2021-03-05,0.29951415274760457,0.009369401180565912,0.46272963867181977,0.7824129930394431
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,47,2021-03-18,0.21091932894199086,0.010600671197080669,0.3253490955344999,0.7761491132826638
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,48,2021-03-31,0.25735128723880774,0.005879830933927438,0.4170300722085783,0.7713397129186602
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,49,2021-04-13,0.2464257835372011,-0.003612532336015805,0.4020265332067234,0.785014985014985
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,50,2021-04-26,0.24335544510471815,-0.0046975140747647914,0.40146372853832357,0.7843047034764826
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,51,2021-05-07,0.2362119925040659,0.0088884126953443,0.3919519867611265,0.7675801447776629
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,52,2021-05-20,0.20948475426336782,0.006831258142445456,0.35266036888743174,0.7766317887394121
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,53,2021-06-02,0.21429726558831874,0.009558803930736454,0.36669124964421806,0.7787556053811658
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,54,2021-06-15,0.22010398117922386,-0.00256069272623624,0.3743565514782376,0.783803611738149
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,55,2021-06-28,0.22055275631577617,-0.0015150586810561038,0.38291430186055614,0.7931034482758621
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,56,2021-07-09,0.21270553702677025,-0.0019520095290788738,0.36930761705144044,0.7842849067269645
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,57,2021-07-22,0.21845620952991587,0.003529760107647104,0.3874766183980313,0.7761774370208104
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,58,2021-08-04,0.22225488259632936,0.004289707953488075,0.38314416335078444,0.7926220806794055
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,59,2021-08-17,0.23050566704357836,-0.0005299479231670146,0.3892364416892803,0.7734776044287872
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,60,2021-08-30,0.23117766592487277,-0.005777258031020418,0.3907099409254268,0.7781265570503239
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,61,2021-09-10,0.23896848916232075,-0.0011882941159885821,0.3950194546628535,0.7795939086294416
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,62,2021-09-23,0.24239365946176075,-0.01325815043488923,0.39573236740009093,0.7887228915662651
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,63,2021-10-06,0.26319802495674266,-0.010485904234607069,0.4243088155066377,0.7766076421248834
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,64,2021-10-19,0.2531808563999595,-0.012860566129845097,0.4067988601316043,0.7879110699397869
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,65,2021-11-01,0.2564938916120223,-0.006445040584785617,0.4097228935938613,0.7851799906498363
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,66,2021-11-12,0.17268343109339648,-0.005571709583062365,0.2751493983636841,0.7625160875160876
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,67,2021-11-25,0.25638191694728046,-0.015531915055734858,0.41098773140082356,0.7809593734703867
464b0_00002,128,2,0.001,1e-05,0.6,50,1024,True,False,0.5,68,2021-12-08,0.2615427388880529,-0.016934461970866156,0.4178861432516403,0.7737237237237238
